GeneID	GeneName	GeneDescription	Transcript#	Strand	Chromosome	Start	End	ExonLength	Source	IsConfounded
SCNN1D_1_+_1	SCNN1D	sodium channel, non-voltage-gated 1, delta subunit	2	+	1	1280436	1292029	3054	hg38_refGene	False
ACAP3_1_-_1	ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	1	-	1	1292384	1307889	3759	hg38_refGene	True
MIR6726_1_-_1	MIR6726	microRNA mir-6726	1	-	1	1296110	1296170	61	hg38_refGene	True
PUSL1_1_+_1	PUSL1	pseudouridylate synthase-like 1	1	+	1	1308614	1311677	1240	hg38_refGene	True
CPSF3L_1_-_1	CPSF3L	cleavage and polyadenylation specific factor 3-like	5	-	1	1311585	1324687	2629	hg38_refGene	True
MIR6727_1_-_1	MIR6727	microRNA mir-6727	1	-	1	1312502	1312566	65	hg38_refGene	True
CPTP_1_+_1	CPTP	glycolipid transfer protein domain containing 1	1	+	1	1324763	1328896	2193	hg38_refGene	False
TAS1R3_1_+_1	TAS1R3	taste receptor, type 1, member 3	1	+	1	1331346	1334464	2559	hg38_refGene	False
DVL1_1_-_1	DVL1	dishevelled segment polarity protein 1	1	-	1	1335278	1349112	2924	hg38_refGene	True
MIR6808_1_-_1	MIR6808	microRNA mir-6808	1	-	1	1339650	1339708	59	hg38_refGene	True
MXRA8_1_-_1	MXRA8	matrix-remodelling associated 8	5	-	1	1352689	1363541	3113	hg38_refGene	False
AURKAIP1_1_-_1	AURKAIP1	aurora kinase A interacting protein 1	3	-	1	1373730	1375438	1147	hg38_refGene	False
CCNL2_1_-_1	CCNL2	cyclin L2	2	-	1	1385711	1399338	3631	hg38_refGene	False
LOC148413_1_+_1	LOC148413		1	+	1	1399530	1402046	1748	hg38_refGene	True
MRPL20_1_-_1	MRPL20	mitochondrial ribosomal protein L20	1	-	1	1401896	1407313	733	hg38_refGene	True
ANKRD65_1_-_1	ANKRD65	ankyrin repeat domain 65	3	-	1	1418420	1421444	2192	hg38_refGene	False
TMEM88B_1_+_1	TMEM88B	transmembrane protein 88B	1	+	1	1426128	1427787	492	hg38_refGene	False
LOC102724312_1_-_1	LOC102724312		3	-	1	1430157	1434573	1194	hg38_refGene	False
VWA1_1_+_1	VWA1	von Willebrand factor A domain containing 1	2	+	1	1435523	1442882	4659	hg38_refGene	False
ATAD3C_1_+_1	ATAD3C	ATPase family, AAA domain containing 3C	1	+	1	1449689	1470158	3859	hg38_refGene	False
ATAD3B_1_+_1	ATAD3B	ATPase family, AAA domain containing 3B	1	+	1	1471784	1496202	2433	hg38_refGene	False
ATAD3A_1_+_1	ATAD3A	ATPase family, AAA domain containing 3A	3	+	1	1512143	1534687	2807	hg38_refGene	False
TMEM240_1_-_1	TMEM240	transmembrane protein 240	1	-	1	1534778	1540360	1117	hg38_refGene	False
SSU72_1_-_1	SSU72	SSU72 RNA polymerase II CTD phosphatase homolog (S. cerevisiae)	1	-	1	1541673	1574882	1303	hg38_refGene	False
C1orf233_1_-_1	C1orf233	chromosome 1 open reading frame 233	1	-	1	1598008	1600096	2089	hg38_refGene	False
MIB2_1_+_1	MIB2	mindbomb E3 ubiquitin protein ligase 2	6	+	1	1615415	1630610	3574	hg38_refGene	False
MMP23B_1_+_1	MMP23B	matrix metallopeptidase 23B	1	+	1	1632181	1634654	1240	hg38_refGene	True
MMP23A_1_+_1	MMP23A	matrix metallopeptidase 23A (pseudogene)	1	+	1	1632780	1634651	906	hg38_refGene	True
CDK11B_1_-_1	CDK11B	cyclin-dependent kinase 11B	6	-	1	1635226	1659097	3170	hg38_refGene	False
SLC35E2B_1_-_1	SLC35E2B	solute carrier family 35, member E2B	2	-	1	1661478	1692804	6443	hg38_refGene	False
MMP23A_1_+_2	MMP23A	matrix metallopeptidase 23A (pseudogene)	1	+	1	1699939	1701808	906	hg38_refGene	False
CDK11A_1_-_1	CDK11A	cyclin-dependent kinase 11A	2	-	1	1702731	1724352	2627	hg38_refGene	False
SLC35E2_1_-_1	SLC35E2	solute carrier family 35, member E2	2	-	1	1724838	1745999	7297	hg38_refGene	False
NADK_1_-_1	NADK	NAD kinase	4	-	1	1751232	1780069	4226	hg38_refGene	False
GNB1_1_-_1	GNB1	guanine nucleotide binding protein (G protein), beta polypeptide 1	3	-	1	1785285	1891117	3194	hg38_refGene	False
CALML6_1_+_1	CALML6	calmodulin-like 6	1	+	1	1914827	1917294	1101	hg38_refGene	False
TMEM52_1_-_1	TMEM52	transmembrane protein 52	1	-	1	1917590	1919301	958	hg38_refGene	False
CFAP74_1_-_1	CFAP74		1	-	1	1921951	2003837	5412	hg38_refGene	False
GABRD_1_+_1	GABRD	gamma-aminobutyric acid (GABA) A receptor, delta	1	+	1	2019329	2030753	1925	hg38_refGene	False
PRKCZ_1_+_1	PRKCZ	protein kinase C, zeta	4	+	1	2050470	2185395	3079	hg38_refGene	True
FAAP20_1_-_1	FAAP20	chromosome 1 open reading frame 86	10	-	1	2184460	2212720	6992	hg38_refGene	True
SKI_1_+_1	SKI	v-ski avian sarcoma viral oncogene homolog	1	+	1	2228695	2310213	5707	hg38_refGene	False
MORN1_1_-_1	MORN1	MORN repeat containing 1	3	-	1	2321253	2391751	6378	hg38_refGene	True
LOC100129534_1_-_1	LOC100129534	small nuclear ribonucleoprotein polypeptide N pseudogene	1	-	1	2350415	2352661	2247	hg38_refGene	True
RER1_1_+_1	RER1	retention in endoplasmic reticulum sorting receptor 1	1	+	1	2391775	2405446	3104	hg38_refGene	True
PEX10_1_-_1	PEX10	peroxisomal biogenesis factor 10	2	-	1	2404802	2412571	2074	hg38_refGene	True
PLCH2_1_+_1	PLCH2	phospholipase C, eta 2	3	+	1	2467459	2505530	6844	hg38_refGene	False
PANK4_1_-_1	PANK4	pantothenate kinase 4	1	-	1	2508531	2526628	2679	hg38_refGene	False
HES5_1_-_1	HES5	hes family bHLH transcription factor 5	1	-	1	2528745	2530245	1306	hg38_refGene	False
LOC115110_1_-_1	LOC115110		1	-	1	2549920	2557011	4619	hg38_refGene	True
TNFRSF14_1_+_1	TNFRSF14	tumor necrosis factor receptor superfamily, member 14	2	+	1	2556365	2565622	3501	hg38_refGene	True
LOC100996583_1_+_1	LOC100996583		1	+	1	2566535	2584534	698	hg38_refGene	False
FAM213B_1_+_1	FAM213B	family with sequence similarity 213, member B	8	+	1	2586460	2591469	2981	hg38_refGene	True
MMEL1_1_-_1	MMEL1	membrane metallo-endopeptidase-like 1	1	-	1	2590642	2633042	2902	hg38_refGene	True
TTC34_1_-_1	TTC34	tetratricopeptide repeat domain 34	1	-	1	2641368	2789665	1775	hg38_refGene	False
ACTRT2_1_+_1	ACTRT2	actin-related protein T2	1	+	1	3021482	3022903	1422	hg38_refGene	False
LINC00982_1_-_1	LINC00982	long intergenic non-protein coding RNA 982	2	-	1	3059617	3067725	3848	hg38_refGene	False
PRDM16_1_+_1	PRDM16	PR domain containing 16	2	+	1	3069178	3438621	8723	hg38_refGene	True
MIR4251_1_+_1	MIR4251	microRNA 4251	1	+	1	3127975	3128035	61	hg38_refGene	True
ARHGEF16_1_+_1	ARHGEF16	Rho guanine nucleotide exchange factor (GEF) 16	1	+	1	3454583	3481113	2904	hg38_refGene	False
MEGF6_1_-_1	MEGF6	multiple EGF-like-domains 6	1	-	1	3487942	3611495	7439	hg38_refGene	True
MIR551A_1_-_1	MIR551A	microRNA 551a	1	-	1	3560696	3560790	95	hg38_refGene	True
TPRG1L_1_+_1	TPRG1L	tumor protein p63 regulated 1-like	1	+	1	3624992	3630130	2427	hg38_refGene	False
WRAP73_1_-_1	WRAP73	WD repeat containing, antisense to TP73	1	-	1	3630767	3650107	1699	hg38_refGene	False
TP73_1_+_1	TP73	tumor protein p73	13	+	1	3652565	3736201	5522	hg38_refGene	True
TP73-AS1_1_-_1	TP73-AS1	TP73 antisense RNA 1	5	-	1	3735984	3747373	6455	hg38_refGene	True
CCDC27_1_+_1	CCDC27	coiled-coil domain containing 27	1	+	1	3752401	3771645	2174	hg38_refGene	False
SMIM1_1_+_1	SMIM1	small integral membrane protein 1 (Vel blood group)	2	+	1	3772761	3775982	573	hg38_refGene	False
LRRC47_1_-_1	LRRC47	leucine rich repeat containing 47	1	-	1	3780220	3796504	2648	hg38_refGene	False
CEP104_1_-_1	CEP104	centrosomal protein 104kDa	1	-	1	3812081	3857233	6458	hg38_refGene	False
DFFB_1_+_1	DFFB	DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)	3	+	1	3857267	3885429	3229	hg38_refGene	False
C1orf174_1_-_1	C1orf174	chromosome 1 open reading frame 174	1	-	1	3889133	3900293	1666	hg38_refGene	False
LINC01134_1_+_1	LINC01134	long intergenic non-protein coding RNA 1134	1	+	1	3900404	3915447	1952	hg38_refGene	False
LINC01346_1_+_1	LINC01346		1	+	1	3940612	3952583	568	hg38_refGene	False
LOC284661_1_+_1	LOC284661		1	+	1	4412051	4424684	2074	hg38_refGene	False
AJAP1_1_+_1	AJAP1	adherens junctions associated protein 1	2	+	1	4655045	4783791	3317	hg38_refGene	False
MIR4417_1_+_1	MIR4417	microRNA 4417	1	+	1	5564071	5564143	73	hg38_refGene	False
MIR4689_1_-_1	MIR4689	microRNA 4689	1	-	1	5862672	5862741	70	hg38_refGene	False
NPHP4_1_-_1	NPHP4	nephronophthisis 4	4	-	1	5862808	5992473	5556	hg38_refGene	True
KCNAB2_1_+_1	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	6	+	1	5992298	6101193	5758	hg38_refGene	True
CHD5_1_-_1	CHD5	chromodomain helicase DNA binding protein 5	1	-	1	6101787	6180134	9663	hg38_refGene	False
RPL22_1_-_1	RPL22	ribosomal protein L22	1	-	1	6185020	6199619	2085	hg38_refGene	False
LOC102724450_1_-_1	LOC102724450		1	-	1	6204840	6205780	378	hg38_refGene	False
RNF207_1_+_1	RNF207	ring finger protein 207	1	+	1	6206129	6221299	3971	hg38_refGene	True
ICMT_1_-_1	ICMT	isoprenylcysteine carboxyl methyltransferase	1	-	1	6221193	6235984	4815	hg38_refGene	True
LINC00337_1_+_1	LINC00337	long intergenic non-protein coding RNA 337	1	+	1	6236240	6239442	1640	hg38_refGene	False
HES3_1_+_1	HES3	hes family bHLH transcription factor 3	1	+	1	6244192	6245578	697	hg38_refGene	False
GPR153_1_-_1	GPR153	G protein-coupled receptor 153	1	-	1	6247346	6260975	4082	hg38_refGene	False
ACOT7_1_-_1	ACOT7	acyl-CoA thioesterase 7	4	-	1	6264272	6393766	2389	hg38_refGene	False
HES2_1_-_1	HES2	hes family bHLH transcription factor 2	1	-	1	6415234	6419919	4260	hg38_refGene	False
ESPN_1_+_1	ESPN	espin	1	+	1	6424788	6460944	3531	hg38_refGene	True
MIR4252_1_-_1	MIR4252	microRNA 4252	1	-	1	6429834	6429896	63	hg38_refGene	True
TNFRSF25_1_-_1	TNFRSF25	tumor necrosis factor receptor superfamily, member 25	6	-	1	6461154	6466195	1913	hg38_refGene	True
PLEKHG5_1_-_1	PLEKHG5	pleckstrin homology domain containing, family G (with RhoGef domain) member 5	8	-	1	6466092	6520061	5996	hg38_refGene	True
NOL9_1_-_1	NOL9	nucleolar protein 9	1	-	1	6521347	6554598	6712	hg38_refGene	False
TAS1R1_1_+_1	TAS1R1	taste receptor, type 1, member 1	2	+	1	6555278	6579757	2795	hg38_refGene	False
ZBTB48_1_+_1	ZBTB48	zinc finger and BTB domain containing 48	3	+	1	6579991	6589280	2350	hg38_refGene	False
KLHL21_1_-_1	KLHL21	kelch-like family member 21	1	-	1	6590724	6602898	4516	hg38_refGene	False
PHF13_1_+_1	PHF13	PHD finger protein 13	1	+	1	6613696	6624033	3670	hg38_refGene	False
THAP3_1_+_1	THAP3	THAP domain containing, apoptosis associated protein 3	3	+	1	6624865	6635586	2972	hg38_refGene	True
DNAJC11_1_-_1	DNAJC11	DnaJ (Hsp40) homolog, subfamily C, member 11	1	-	1	6634168	6701906	3293	hg38_refGene	True
LOC100505887_1_+_1	LOC100505887		2	+	1	6724745	6730012	485	hg38_refGene	False
CAMTA1_1_+_1	CAMTA1	calmodulin binding transcription activator 1	4	+	1	6785324	7769706	9283	hg38_refGene	False
VAMP3_1_+_1	VAMP3	vesicle-associated membrane protein 3	1	+	1	7771269	7781432	2205	hg38_refGene	False
PER3_1_+_1	PER3	period circadian clock 3	5	+	1	7784429	7845180	6386	hg38_refGene	False
UTS2_1_-_1	UTS2	urotensin 2	2	-	1	7847612	7853491	755	hg38_refGene	False
TNFRSF9_1_-_1	TNFRSF9	tumor necrosis factor receptor superfamily, member 9	1	-	1	7915871	7943165	5993	hg38_refGene	False
PARK7_1_+_1	PARK7	parkinson protein 7	2	+	1	7961654	7985282	961	hg38_refGene	False
ERRFI1_1_-_1	ERRFI1	ERBB receptor feedback inhibitor 1	1	-	1	8011719	8026333	3129	hg38_refGene	False
LOC102724539_1_+_1	LOC102724539		1	+	1	8208672	8215208	495	hg38_refGene	False
SLC45A1_1_+_1	SLC45A1	solute carrier family 45, member 1	1	+	1	8318085	8344167	2527	hg38_refGene	False
RERE_1_-_1	RERE	arginine-glutamic acid dipeptide (RE) repeats	3	-	1	8352404	8817640	8321	hg38_refGene	True
LOC102724552_1_+_1	LOC102724552		1	+	1	8424645	8435016	694	hg38_refGene	True
ENO1_1_-_1	ENO1	enolase 1, (alpha)	2	-	1	8861000	8879092	3253	hg38_refGene	True
MIR6728_1_-_1	MIR6728	microRNA mir-6728	1	-	1	8866502	8866590	89	hg38_refGene	True
ENO1-AS1_1_+_1	ENO1-AS1	ENO1 antisense RNA 1	1	+	1	8878835	8879884	446	hg38_refGene	True
CA6_1_+_1	CA6	carbonic anhydrase VI	4	+	1	8945834	8975089	1463	hg38_refGene	False
SLC2A7_1_-_1	SLC2A7	solute carrier family 2 (facilitated glucose transporter), member 7	1	-	1	9003300	9026345	1539	hg38_refGene	False
SLC2A5_1_-_1	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	2	-	1	9036946	9069828	2855	hg38_refGene	False
GPR157_1_-_1	GPR157	G protein-coupled receptor 157	1	-	1	9104417	9129170	1153	hg38_refGene	False
MIR34A_1_-_1	MIR34A	microRNA 34a	1	-	1	9151668	9151777	110	hg38_refGene	False
H6PD_1_+_1	H6PD	hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase)	2	+	1	9234804	9271335	9290	hg38_refGene	False
SPSB1_1_+_1	SPSB1	splA/ryanodine receptor domain and SOCS box containing 1	1	+	1	9292882	9369531	3117	hg38_refGene	False
LOC100506022_1_-_1	LOC100506022		2	-	1	9425094	9428996	2438	hg38_refGene	False
SLC25A33_1_+_1	SLC25A33	solute carrier family 25 (pyrimidine nucleotide carrier), member 33	1	+	1	9539469	9582773	1461	hg38_refGene	False
TMEM201_1_+_1	TMEM201	transmembrane protein 201	2	+	1	9588874	9614877	6542	hg38_refGene	False
PIK3CD_1_+_1	PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta	1	+	1	9651732	9729114	5411	hg38_refGene	True
PIK3CD-AS1_1_-_1	PIK3CD-AS1		1	-	1	9652610	9654586	1823	hg38_refGene	True
PIK3CD-AS2_1_-_1	PIK3CD-AS2		3	-	1	9672426	9687574	958	hg38_refGene	True
CLSTN1_1_-_1	CLSTN1	calsyntenin 1	3	-	1	9729021	9824526	5226	hg38_refGene	True
CTNNBIP1_1_-_1	CTNNBIP1	catenin, beta interacting protein 1	2	-	1	9848276	9910258	2995	hg38_refGene	False
LZIC_1_-_1	LZIC	leucine zipper and CTNNBIP1 domain containing	1	-	1	9929718	9942768	1407	hg38_refGene	False
NMNAT1_1_+_1	NMNAT1	nicotinamide nucleotide adenylyltransferase 1	3	+	1	9942923	9985498	4395	hg38_refGene	True
MIR5697_1_+_1	MIR5697	microRNA 5697	1	+	1	9967381	9967458	78	hg38_refGene	True
RBP7_1_+_1	RBP7	retinol binding protein 7, cellular	1	+	1	9997197	10016020	655	hg38_refGene	False
UBE4B_1_+_1	UBE4B	ubiquitination factor E4B	2	+	1	10032983	10181238	5879	hg38_refGene	False
KIF1B_1_+_1	KIF1B	kinesin family member 1B	2	+	1	10210706	10381603	16016	hg38_refGene	True
MIR1273D_1_+_1	MIR1273D	microRNA 1273d	1	+	1	10227718	10227803	86	hg38_refGene	True
RNU6-1_1_+_1	RNU6-1	RNA, U6 small nuclear 1	1	+	1	10298966	10299070	105	hg38_refGene	True
RNU6-2_1_+_1	RNU6-2	RNA, U6 small nuclear 2	1	+	1	10298966	10299070	105	hg38_refGene	True
RNU6-7_1_+_1	RNU6-7	RNA, U6 small nuclear 7	1	+	1	10298966	10299070	105	hg38_refGene	True
RNU6-8_1_+_1	RNU6-8	RNA, U6 small nuclear 8	1	+	1	10298966	10299070	105	hg38_refGene	True
RNU6-9_1_+_1	RNU6-9	RNA, U6 small nuclear 9	1	+	1	10298966	10299070	105	hg38_refGene	True
PGD_1_+_1	PGD	phosphogluconate dehydrogenase	3	+	1	10398992	10420511	2545	hg38_refGene	False
APITD1_1_+_1	APITD1	apoptosis-inducing, TAF9-like domain 1	2	+	1	10430102	10442815	1898	hg38_refGene	True
APITD1-CORT_1_+_1	APITD1-CORT	APITD1-CORT readthrough	5	+	1	10430102	10452003	2151	hg38_refGene	True
CORT_1_+_1	CORT	cortistatin	1	+	1	10449719	10452003	1231	hg38_refGene	True
DFFA_1_-_1	DFFA	DNA fragmentation factor, 45kDa, alpha polypeptide	2	-	1	10460546	10472556	3393	hg38_refGene	False
PEX14_1_+_1	PEX14	peroxisomal biogenesis factor 14	1	+	1	10474946	10630761	1929	hg38_refGene	False
CASZ1_1_-_1	CASZ1	castor zinc finger 1	2	-	1	10636606	10796676	8557	hg38_refGene	False
C1orf127_1_-_1	C1orf127	chromosome 1 open reading frame 127	1	-	1	10946473	10982037	2761	hg38_refGene	False
TARDBP_1_+_1	TARDBP	TAR DNA binding protein	1	+	1	11012622	11025492	4217	hg38_refGene	False
MASP2_1_-_1	MASP2	mannan-binding lectin serine peptidase 2	2	-	1	11026523	11047239	2611	hg38_refGene	False
SRM_1_-_1	SRM	spermidine synthase	1	-	1	11054592	11060034	1273	hg38_refGene	False
EXOSC10_1_-_1	EXOSC10	exosome component 10	2	-	1	11066613	11099910	2842	hg38_refGene	False
MTOR_1_-_1	MTOR	mechanistic target of rapamycin (serine/threonine kinase)	1	-	1	11106531	11262551	8725	hg38_refGene	True
MTOR-AS1_1_+_1	MTOR-AS1	MTOR antisense RNA 1	1	+	1	11143898	11149538	706	hg38_refGene	True
ANGPTL7_1_+_1	ANGPTL7	angiopoietin-like 7	1	+	1	11189289	11195981	2290	hg38_refGene	True
UBIAD1_1_+_1	UBIAD1	UbiA prenyltransferase domain containing 1	1	+	1	11273198	11288434	3654	hg38_refGene	False
PTCHD2_1_+_1	PTCHD2	patched domain containing 2	1	+	1	11479238	11537583	5214	hg38_refGene	False
LOC101929181_1_+_1	LOC101929181		1	+	1	11609531	11613354	1284	hg38_refGene	False
FBXO2_1_-_1	FBXO2	F-box protein 2	1	-	1	11648361	11654831	1715	hg38_refGene	True
FBXO44_1_+_1	FBXO44	F-box protein 44	7	+	1	11654375	11663327	3527	hg38_refGene	True
FBXO6_1_+_1	FBXO6	F-box protein 6	1	+	1	11664093	11674352	1549	hg38_refGene	False
MAD2L2_1_-_1	MAD2L2	MAD2 mitotic arrest deficient-like 2 (yeast)	2	-	1	11674480	11691621	1328	hg38_refGene	False
DRAXIN_1_+_1	DRAXIN	dorsal inhibitory axon guidance protein	1	+	1	11691724	11720279	1773	hg38_refGene	False
AGTRAP_1_+_1	AGTRAP	angiotensin II receptor-associated protein	5	+	1	11736085	11750771	1280	hg38_refGene	False
C1orf167_1_+_1	C1orf167	chromosome 1 open reading frame 167	1	+	1	11762193	11789585	4672	hg38_refGene	True
LOC102724659_1_-_1	LOC102724659		1	-	1	11777077	11779619	1868	hg38_refGene	True
MTHFR_1_-_1	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)	1	-	1	11785730	11806103	7150	hg38_refGene	True
CLCN6_1_+_1	CLCN6	chloride channel, voltage-sensitive 6	3	+	1	11806096	11843144	5708	hg38_refGene	True
NPPA-AS1_1_+_1	NPPA-AS1	NPPA antisense RNA 1	1	+	1	11840319	11847616	1662	hg38_refGene	True
NPPA_1_-_1	NPPA	natriuretic peptide A	1	-	1	11845710	11847783	854	hg38_refGene	True
NPPB_1_-_1	NPPB	natriuretic peptide B	1	-	1	11857464	11858935	698	hg38_refGene	False
RNU5E-1_1_+_1	RNU5E-1	RNA, U5E small nuclear 1	1	+	1	11908154	11908272	119	hg38_refGene	False
KIAA2013_1_-_1	KIAA2013		1	-	1	11919588	11926428	2823	hg38_refGene	False
PLOD1_1_+_1	PLOD1	procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	1	+	1	11934667	11975542	3031	hg38_refGene	False
MFN2_1_+_1	MFN2	mitofusin 2	2	+	1	11980181	12013515	4677	hg38_refGene	False
